Operation,Level,Operator,Time,Source,Terminal IP Address,Operation Object,Result,Details
Deactive Monitor task,Warning,Akram.Abdelrahim,	2025-11-17 14:50:49,Real-Time Monitor Management,192.168.27.68,Real-Time Monitor Management,Successful,"Task name: 10562 UCells Monitor, Client id: 1763379814094_71"
Active Monitor Task,Warning,Akram.Abdelrahim,	2025-11-17 14:50:37,Real-Time Monitor Management,192.168.27.68,Real-Time Monitor Management,Successful,"Task name: 10562 UCells Monitor, Client id: 1763379814094_71"
Active Monitor Task,Warning,Akram.Abdelrahim,	2025-11-17 14:50:26,Real-Time Monitor Management,192.168.27.68,Real-Time Monitor Management,Failed,"Task name: 1001_NonFlash, Client id: 1763379814094_71"
query current activities,Minor,Kareem.ElKhatib,	2025-11-17 14:49:40,OSSFaceService,192.168.27.158,query current activities,Successful,query current activities
Active Monitor Task,Warning,Akram.Abdelrahim,	2025-11-17 14:47:01,Real-Time Monitor Management,192.168.27.68,Real-Time Monitor Management,Failed,"Task name: 1001_NonFlash, Client id: 1763379814094_71"
Active Monitor Task,Warning,Akram.Abdelrahim,	2025-11-17 14:46:52,Real-Time Monitor Management,192.168.27.68,Real-Time Monitor Management,Failed,"Task name: 1001_NonFlash, Client id: 1763379814094_71"
Modify Monitor Task,Minor,Akram.Abdelrahim,	2025-11-17 14:46:48,Real-Time Monitor Management,192.168.27.68,Real-Time Monitor Management,Successful,Task name: 1001_NonFlash
Active Monitor Task,Warning,Akram.Abdelrahim,	2025-11-17 14:46:10,Real-Time Monitor Management,192.168.27.68,Real-Time Monitor Management,Failed,"Task name: 1001_NonFlash, Client id: 1763379814094_71"
Active Monitor Task,Warning,Akram.Abdelrahim,	2025-11-17 14:46:04,Real-Time Monitor Management,192.168.27.68,Real-Time Monitor Management,Failed,"Task name: 1001_NonFlash, Client id: 1763379814094_71"
Add Monitor Task,Minor,Akram.Abdelrahim,	2025-11-17 14:46:00,Real-Time Monitor Management,192.168.27.68,Real-Time Monitor Management,Successful,Task name: 1001_NonFlash
query current activities,Minor,ahmad.hajdawood,	2025-11-17 14:43:39,OSSFaceService,192.168.27.57,query current activities,Successful,query current activities
query current activities,Minor,Akram.Abdelrahim,	2025-11-17 14:43:24,OSSFaceService,192.168.27.68,query current activities,Successful,query current activities
query current activities,Minor,najeh.ghawanmeh,	2025-11-17 14:43:20,OSSFaceService,192.168.27.31,query current activities,Successful,query current activities
query current activities,Minor,karam.jaber,	2025-11-17 14:23:31,OSSFaceService,192.168.19.141,query current activities,Successful,query current activities
query current activities,Minor,lana.mofde,	2025-11-17 14:19:18,OSSFaceService,192.168.19.27,query current activities,Successful,query current activities
query current activities,Minor,Ayham.Qarqash,	2025-11-17 14:15:56,OSSFaceService,192.168.27.148,query current activities,Successful,query current activities
query current activities,Minor,ahmad.hajdawood,	2025-11-17 14:07:13,OSSFaceService,192.168.27.57,query current activities,Successful,query current activities
query current activities,Minor,Emran.Zaarir,	2025-11-17 14:01:31,OSSFaceService,192.168.27.20,query current activities,Successful,query current activities
Query logs,Warning,admin,	2025-11-17 13:59:35,Log Management,192.168.7.150,Log Management,Successful,Operation logs queried successfully.
query current activities,Minor,admin,	2025-11-17 13:58:54,OSSFaceService,192.168.7.150,query current activities,Successful,query current activities
query current activities,Minor,baker.asad,	2025-11-17 13:56:44,OSSFaceService,192.168.19.230,query current activities,Successful,query current activities
query current activities,Minor,yazan.osrof,	2025-11-17 13:50:44,OSSFaceService,192.168.19.135,query current activities,Successful,query current activities
query current activities,Minor,ahmad.hajdawood,	2025-11-17 13:41:56,OSSFaceService,192.168.27.57,query current activities,Successful,query current activities
query current activities,Minor,laith.al-habashneh,	2025-11-17 13:39:35,OSSFaceService,172.23.17.126,query current activities,Successful,query current activities
query current activities,Minor,ahmad.hajdawood,	2025-11-17 13:37:38,OSSFaceService,192.168.27.57,query current activities,Successful,query current activities
query current activities,Minor,Emran.Zaarir,	2025-11-17 13:18:28,OSSFaceService,192.168.27.20,query current activities,Successful,query current activities
query current activities,Minor,rawaa.alobaidat,	2025-11-17 13:12:38,OSSFaceService,192.168.19.221,query current activities,Successful,query current activities
query current activities,Minor,rawaa.alobaidat,	2025-11-17 12:22:20,OSSFaceService,192.168.19.221,query current activities,Successful,query current activities
query current activities,Minor,lana.mofde,	2025-11-17 11:56:49,OSSFaceService,192.168.19.27,query current activities,Successful,query current activities
query current activities,Minor,lana.mofde,	2025-11-17 11:56:41,OSSFaceService,192.168.19.27,query current activities,Successful,query current activities
Modify Object Group,Minor,baher.obaidat,	2025-11-17 11:51:36,Performance Report Service,192.168.19.218,Performance Report System,Successful,Object Group Name: power saving batch 2
Modify Object Group,Minor,baher.obaidat,	2025-11-17 11:50:35,Performance Report Service,192.168.19.218,Performance Report System,Successful,Object Group Name: power saving batch 2
query current activities,Minor,Akram.Abdelrahim,	2025-11-17 11:50:27,OSSFaceService,192.168.27.68,query current activities,Successful,query current activities
query current activities,Minor,rawaa.alobaidat,	2025-11-17 11:39:19,OSSFaceService,192.168.19.221,query current activities,Successful,query current activities
query current activities,Minor,admin,	2025-11-17 11:20:17,OSSFaceService,192.168.7.141,query current activities,Successful,query current activities
Create Object Group,Warning,baher.obaidat,	2025-11-17 11:15:53,Performance Report Service,192.168.19.218,Performance Report System,Successful,Object Group Name: power saving batch 2
Delete Object Group,Risk,baher.obaidat,	2025-11-17 11:15:47,Performance Report Service,192.168.19.218,Performance Report System,Successful,"Object Group Name: Cluster 35 L1800 full baher,Cluster8 new L1800 baher"
query current activities,Minor,yazan.osrof,	2025-11-17 11:12:51,OSSFaceService,192.168.19.135,query current activities,Successful,query current activities
Create Object Group,Warning,baher.obaidat,	2025-11-17 11:09:00,Performance Report Service,192.168.19.218,Performance Report System,Failed,"Object Group Name: power saving batch 2, Failure Reason: Failed to create object groups.The number of user-defined object groups reaches the upper limit.Failure case: A maximum of 5000 object groups can be created in the system.There are 5000 object groups, and the object groups to be created is 1.The total number of object groups is 1 more than the upper limit."
query current activities,Minor,baher.obaidat,	2025-11-17 11:05:22,OSSFaceService,192.168.19.218,query current activities,Successful,query current activities
query current activities,Minor,mohammad.jabali,	2025-11-17 10:51:18,OSSFaceService,172.23.15.141,query current activities,Successful,query current activities
query current activities,Minor,malek.mohammad,	2025-11-17 10:45:12,OSSFaceService,192.168.27.62,query current activities,Successful,query current activities
query current activities,Minor,rawaa.alobaidat,	2025-11-17 10:29:26,OSSFaceService,192.168.19.221,query current activities,Successful,query current activities
query current activities,Minor,rawaa.alobaidat,	2025-11-17 10:11:52,OSSFaceService,192.168.19.221,query current activities,Successful,query current activities
query current activities,Minor,Akram.Abdelrahim,	2025-11-17 09:24:53,OSSFaceService,192.168.27.68,query current activities,Successful,query current activities
query current activities,Minor,ahmad.hajdawood,	2025-11-17 09:14:13,OSSFaceService,192.168.27.57,query current activities,Successful,query current activities
query current activities,Minor,najeh.ghawanmeh,	2025-11-17 09:04:48,OSSFaceService,192.168.27.31,query current activities,Successful,query current activities
query current activities,Minor,ahmad.hajdawood,	2025-11-17 09:02:19,OSSFaceService,192.168.27.57,query current activities,Successful,query current activities
query current activities,Minor,abdallah.younes,	2025-11-17 08:53:17,OSSFaceService,192.168.19.22,query current activities,Successful,query current activities
query current activities,Minor,Osaid.Bolbol,	2025-11-17 08:49:25,OSSFaceService,172.23.16.218,query current activities,Successful,query current activities
query current activities,Minor,abdalla.saleh,	2025-11-17 08:48:15,OSSFaceService,172.23.14.131,query current activities,Successful,query current activities
query current activities,Minor,abdallah.alomari,	2025-11-17 08:34:24,OSSFaceService,192.168.27.168,query current activities,Successful,query current activities
Modify Report,Minor,Mohd.AlAmro,	2025-11-17 08:30:34,Performance Report Service,192.168.19.91,Performance Report System,Successful,Report Name: 4G TDD KPIs-Alamro
query current activities,Minor,admin,	2025-11-17 08:30:07,OSSFaceService,192.168.7.160,query current activities,Successful,query current activities
query current activities,Minor,Mohd.AlAmro,	2025-11-17 08:29:16,OSSFaceService,192.168.19.91,query current activities,Successful,query current activities
Create Report,Warning,baker.asad,	2025-11-17 08:27:11,Performance Report Service,192.168.19.230,Performance Report System,Successful,Report Name: inter freq 3G
query current activities,Minor,najeh.ghawanmeh,	2025-11-17 08:24:11,OSSFaceService,192.168.27.31,query current activities,Successful,query current activities
query current activities,Minor,baker.asad,	2025-11-17 08:22:21,OSSFaceService,192.168.19.230,query current activities,Successful,query current activities
query current activities,Minor,Ayham.Qarqash,	2025-11-17 08:17:15,OSSFaceService,192.168.27.148,query current activities,Successful,query current activities
query current activities,Minor,ahmad.hajdawood,	2025-11-17 08:15:06,OSSFaceService,192.168.27.57,query current activities,Successful,query current activities
query current activities,Minor,rawaa.alobaidat,	2025-11-17 08:11:53,OSSFaceService,192.168.19.221,query current activities,Successful,query current activities
query current activities,Minor,Kareem.ElKhatib,	2025-11-17 08:11:19,OSSFaceService,192.168.27.158,query current activities,Successful,query current activities
query current activities,Minor,Ahmad.Alsubani,	2025-11-17 08:07:31,OSSFaceService,192.168.27.147,query current activities,Successful,query current activities
query current activities,Minor,abdallah.younes,	2025-11-17 08:07:02,OSSFaceService,192.168.19.22,query current activities,Successful,query current activities
query current activities,Minor,yousef.abu-sheikha,	2025-11-17 08:00:47,OSSFaceService,192.168.27.133,query current activities,Successful,query current activities
Modify Report,Minor,yousef.abu-sheikha,	2025-11-17 08:00:40,Performance Report Service,192.168.27.133,Performance Report System,Successful,Report Name: 3G Charts
Multipart upload,Warning,"	--",	2025-11-17 07:59:27,HOFS,192.168.27.133,Complete Segmentation,Successful,Complete Segmentation Success
Multipart upload,Warning,"	--",	2025-11-17 07:59:26,HOFS,192.168.27.133,Upload Part,Successful,Upload Part Success
Multipart upload,Warning,"	--",	2025-11-17 07:59:26,HOFS,192.168.27.133,Start Segmentation,Successful,Start Segmentation Success
query current activities,Minor,Hosni.Olayan,	2025-11-17 07:57:55,OSSFaceService,192.168.19.229,query current activities,Successful,query current activities
Modify Report,Minor,yousef.abu-sheikha,	2025-11-17 07:56:23,Performance Report Service,192.168.27.133,Performance Report System,Successful,Report Name: Huawei 3G Benchmark Dashboard - Daily(1)
Copy Report(s),Warning,yousef.abu-sheikha,	2025-11-17 07:56:08,Performance Report Service,192.168.27.133,Performance Report System,Successful,"Original Report Name: Huawei 3G Benchmark Dashboard - Daily, New Report Name: Huawei 3G Benchmark Dashboard - Daily(1)
"
query current activities,Minor,yousef.abu-sheikha,	2025-11-17 07:52:45,OSSFaceService,192.168.27.133,query current activities,Successful,query current activities
query current activities,Minor,Emran.Zaarir,	2025-11-17 07:51:32,OSSFaceService,192.168.27.20,query current activities,Successful,query current activities
query current activities,Minor,karam.jaber,	2025-11-17 07:49:55,OSSFaceService,192.168.19.141,query current activities,Successful,query current activities
query current activities,Minor,mohammad.abujrai,	2025-11-17 07:43:56,OSSFaceService,192.168.27.66,query current activities,Successful,query current activities
query current activities,Minor,thabet.jaradat,	2025-11-17 07:42:12,OSSFaceService,192.168.19.18,query current activities,Successful,query current activities
query current activities,Minor,Abdelrahman.abu-alasal,	2025-11-16 16:47:15,OSSFaceService,192.168.19.209,query current activities,Successful,query current activities
query current activities,Minor,ahmad.hajdawood,	2025-11-16 15:29:29,OSSFaceService,192.168.27.57,query current activities,Successful,query current activities
query current activities,Minor,ahmad.hajdawood,	2025-11-16 15:27:39,OSSFaceService,192.168.27.57,query current activities,Successful,query current activities
query current activities,Minor,karam.jaber,	2025-11-16 15:23:56,OSSFaceService,192.168.19.168,query current activities,Successful,query current activities
query current activities,Minor,Emran.Zaarir,	2025-11-16 15:16:58,OSSFaceService,192.168.27.29,query current activities,Successful,query current activities
Export Object Tree,Warning,najeh.ghawanmeh,	2025-11-16 14:27:55,Performance Report Service,192.168.27.21,Performance Report System,Successful,"Object type: eNodeB, Exported objects: 3468"
